# 英文高频错拼词库（内置）—— 与中文词库同款行式语法：错拼 => 正确拼法
# 收录纪律（零误报前提）：错拼形式本身不得是合法英文词、常见缩写、
# 技术专名或常见标识符；正确形式须为高频词。
# 扫描规则：只匹配「全小写独立词」——前后紧邻字母/数字/下划线/点号的
# token（驼峰、snake_case、obj.method、v2xxx）一律不查；句首大写与
# 全大写不查（词典层盲区，由 LLM 层兜底）。# 开头为注释，空行忽略。

# —— 通用高频错拼 ——
acheive => achieve
acheived => achieved
acheivement => achievement
acheiving => achieving
adress => address
adresses => addresses
accomodate => accommodate
aquire => acquire
agressive => aggressive
allmost => almost
alot => a lot
amature => amateur
apparant => apparent
arguement => argument
arguements => arguments
arugment => argument
arugments => arguments
basicly => basically
becuase => because
begining => beginning
buisness => business
calender => calendar
catagory => category
catagories => categories
cemetary => cemetery
changable => changeable
collegue => colleague
collegues => colleagues
comming => coming
commited => committed
commitee => committee
concious => conscious
congradulations => congratulations
curiousity => curiosity
decison => decision
definately => definitely
definatly => definitely
dependant => dependent
desicion => decision
desicions => decisions
desparate => desperate
differant => different
diffrent => different
dilemna => dilemma
disasterous => disastrous
dissapear => disappear
dissapoint => disappoint
embarass => embarrass
embarassed => embarrassed
embarassing => embarrassing
enviroment => environment
enviroments => environments
equiptment => equipment
exagerate => exaggerate
excelent => excellent
existance => existence
experiance => experience
experianced => experienced
facinating => fascinating
familar => familiar
finaly => finally
flourescent => fluorescent
foriegn => foreign
fourty => forty
funtion => function
funtions => functions
futher => further
gaurd => guard
garantee => guarantee
generaly => generally
goverment => government
grammer => grammar
gratefull => grateful
guage => gauge
harrass => harass
heigth => height
hieght => height
higer => higher
hierachy => hierarchy
ignorence => ignorance
immediat => immediate
immediatly => immediately
independant => independent
infact => in fact
intrest => interest
intrested => interested
irrelevent => irrelevant
knowlege => knowledge
liason => liaison
libary => library
maintainance => maintenance
managment => management
millenium => millennium
neccessary => necessary
noticable => noticeable
occassion => occasion
occured => occurred
occurence => occurrence
ocurrence => occurrence
occuring => occurring
paralel => parallel
paralell => parallel
paramter => parameter
paramters => parameters
parliment => parliament
persistant => persistent
personel => personnel
pleasent => pleasant
posession => possession
possable => possible
practaly => practically
preceed => proceed
prefered => preferred
privelege => privilege
priviledge => privilege
probaly => probably
proffesional => professional
pronounciation => pronunciation
publically => publicly
questionaire => questionnaire
reccomend => recommend
recieve => receive
recieved => received
reciever => receiver
recieving => receiving
refered => referred
relevent => relevant
religous => religious
remeber => remember
repitition => repetition
repsond => respond
repsonse => response
resistence => resistance
responsability => responsibility
responsiblity => responsibility
resturant => restaurant
rythm => rhythm
sacrafice => sacrifice
saftey => safety
sceduled => scheduled
schedual => schedule
seperate => separate
seperated => separated
seperately => separately
seperation => separation
sieze => seize
similer => similar
sincerly => sincerely
speach => speech
strenght => strength
sucess => success
sucessful => successful
sucessfully => successfully
supress => suppress
suprise => surprise
suprised => surprised
taht => that
teh => the
tendancy => tendency
threshhold => threshold
tommorow => tomorrow
tounge => tongue
transfered => transferred
truely => truly
tryed => tried
twelth => twelfth
unforseen => unforeseen
unfortunatly => unfortunately
unneccessary => unnecessary
untill => until
usualy => usually
vaccum => vacuum
vegetarion => vegetarian
widht => width
wich => which
wierd => weird
withold => withhold
writting => writing
yeild => yield

# —— 程序员高频词错拼 ——
andriod => android
defalut => default
defualt => default
defualts => defaults
flase => false
kubernets => kubernetes
kuberenetes => kubernetes
pubilc => public
reponsiveness => responsiveness
retrun => return
reutrn => return
reuqest => request
reuqires => requires
stirng => string
ture => true
